SIZE,THREADS,SEQ_TIME,PAR_TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
512,2,0.123848,0.066978,1.8491,0.9245,OK,0.000824
512,4,0.123848,0.035264,3.5120,0.8780,OK,0.000301
512,6,0.123848,0.025508,4.8552,0.8092,OK,0.000909
512,8,0.123848,0.026882,4.6071,0.5759,OK,0.000809
512,10,0.123848,0.024197,5.1183,0.5118,OK,0.000888
512,12,0.123848,0.020644,5.9993,0.4999,OK,0.001073
512,14,0.123848,0.024283,5.1002,0.3643,OK,0.001491
512,16,0.123848,0.022479,5.5096,0.3443,OK,0.001321
512,20,0.123848,0.021314,5.8105,0.2905,OK,0.001193
512,24,0.123848,0.021754,5.6930,0.2372,OK,0.000935
512,32,0.123848,0.021596,5.7347,0.1792,OK,0.000920
512,64,0.123848,0.020872,5.9338,0.0927,OK,0.000695
512,128,0.123848,0.021219,5.8368,0.0456,OK,0.000984
512,256,0.123848,0.022362,5.5383,0.0216,OK,0.001340
850,2,0.643761,0.332394,1.9367,0.9684,OK,0.030618
850,4,0.643761,0.171071,3.7631,0.9408,OK,0.011523
850,6,0.643761,0.143278,4.4931,0.7489,OK,0.014775
850,8,0.643761,0.146078,4.4070,0.5509,OK,0.004762
850,10,0.643761,0.130797,4.9218,0.4922,OK,0.007731
850,12,0.643761,0.115384,5.5793,0.4649,OK,0.010533
850,14,0.643761,0.133828,4.8104,0.3436,OK,0.008355
850,16,0.643761,0.128488,5.0103,0.3131,OK,0.009933
850,20,0.643761,0.126371,5.0942,0.2547,OK,0.009992
850,24,0.643761,0.122244,5.2662,0.2194,OK,0.007587
850,32,0.643761,0.122934,5.2366,0.1636,OK,0.007577
850,64,0.643761,0.120084,5.3609,0.0838,OK,0.008078
850,128,0.643761,0.120342,5.3494,0.0418,OK,0.007353
850,256,0.643761,0.120300,5.3513,0.0209,OK,0.008519
1024,2,1.169885,0.601974,1.9434,0.9717,OK,0.000663
1024,4,1.169885,0.320820,3.6466,0.9116,OK,0.000412
1024,6,1.169885,0.227131,5.1507,0.8585,OK,0.029064
1024,8,1.169885,0.341717,3.4235,0.4279,OK,0.004145
1024,10,1.169885,0.415347,2.8166,0.2817,OK,0.007236
1024,12,1.169885,0.702348,1.6657,0.1388,OK,0.001220
1024,14,1.169885,0.678754,1.7236,0.1231,OK,0.048395
1024,16,1.169885,0.687080,1.7027,0.1064,OK,0.022582
1024,20,1.169885,0.718914,1.6273,0.0814,OK,0.008695
1024,24,1.169885,0.724856,1.6140,0.0672,OK,0.005000
1024,32,1.169885,0.723117,1.6178,0.0506,OK,0.005838
1024,64,1.169885,0.726626,1.6100,0.0252,OK,0.002340
1024,128,1.169885,0.722495,1.6192,0.0127,OK,0.001061
1024,256,1.169885,0.719354,1.6263,0.0064,OK,0.050353
1520,2,5.422481,3.181478,1.7044,0.8522,OK,0.061886
1520,4,5.422481,1.463544,3.7050,0.9263,OK,0.080046
1520,6,5.422481,1.064612,5.0934,0.8489,OK,0.050103
1520,8,5.422481,1.429948,3.7921,0.4740,OK,0.010449
1520,10,5.422481,1.550453,3.4974,0.3497,OK,0.029906
1520,12,5.422481,2.435753,2.2262,0.1855,OK,0.077884
1520,14,5.422481,2.423930,2.2371,0.1598,OK,0.075872
1520,16,5.422481,2.425742,2.2354,0.1397,OK,0.086613
1520,20,5.422481,2.456697,2.2072,0.1104,OK,0.074857
1520,24,5.422481,2.489030,2.1786,0.0908,OK,0.078404
1520,32,5.422481,2.488152,2.1793,0.0681,OK,0.079928
1520,64,5.422481,2.504576,2.1650,0.0338,OK,0.066152
1520,128,5.422481,2.503356,2.1661,0.0169,OK,0.063600
1520,256,5.422481,2.488917,2.1787,0.0085,OK,0.053675
2048,2,31.033263,15.959761,1.9445,0.9722,OK,0.010189
2048,4,31.033263,8.735282,3.5526,0.8882,OK,0.178541
2048,6,31.033263,6.264208,4.9541,0.8257,OK,0.112658
2048,8,31.033263,6.756384,4.5932,0.5741,OK,0.131506
2048,10,31.033263,6.522335,4.7580,0.4758,OK,0.153929
2048,12,31.033263,6.303186,4.9234,0.4103,OK,0.098551
2048,14,31.033263,6.477143,4.7912,0.3422,OK,0.123887
2048,16,31.033263,6.485689,4.7849,0.2991,OK,0.164206
2048,20,31.033263,6.433471,4.8237,0.2412,OK,0.135391
2048,24,31.033263,6.423622,4.8311,0.2013,OK,0.149297
2048,32,31.033263,6.387796,4.8582,0.1518,OK,0.115079
2048,64,31.033263,6.405147,4.8451,0.0757,OK,0.095723
2048,128,31.033263,6.364121,4.8763,0.0381,OK,0.109188
2048,256,31.033263,6.357841,4.8811,0.0191,OK,0.116894
