SCHEDULE_TYPE,SIZE,THREADS,TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
static,512,2,0.074688,1.9919,0.9960,OK,0.000387
static,512,4,0.038236,3.8909,0.9727,OK,0.000148
static,512,6,0.028464,5.2267,0.8711,OK,0.000531
static,512,8,0.030680,4.8492,0.6061,OK,0.000244
static,512,10,0.027897,5.3329,0.5333,OK,0.000187
static,512,12,0.022946,6.4834,0.5403,OK,0.000475
static,512,14,0.025606,5.8100,0.4150,OK,0.001360
static,512,16,0.026430,5.6289,0.3518,OK,0.001286
static,512,20,0.024639,6.0381,0.3019,OK,0.000999
static,512,24,0.024646,6.0364,0.2515,OK,0.000978
static,512,32,0.023792,6.2530,0.1954,OK,0.000389
dynamic,512,2,0.074424,1.9990,0.9995,OK,0.000792
dynamic,512,4,0.037736,3.9424,0.9856,OK,0.000106
dynamic,512,6,0.039562,3.7604,0.6267,OK,0.000860
dynamic,512,8,0.030611,4.8600,0.6075,OK,0.000266
dynamic,512,10,0.029437,5.0539,0.5054,OK,0.001818
dynamic,512,12,0.033786,4.4033,0.3669,OK,0.002860
dynamic,512,14,0.029756,4.9997,0.3571,OK,0.001681
dynamic,512,16,0.031747,4.6861,0.2929,OK,0.001736
dynamic,512,20,0.032680,4.5524,0.2276,OK,0.002415
dynamic,512,24,0.032199,4.6204,0.1925,OK,0.003654
dynamic,512,32,0.031329,4.7487,0.1484,OK,0.002843
guided,512,2,0.075081,1.9815,0.9907,OK,0.000642
guided,512,4,0.040455,3.6774,0.9194,OK,0.001260
guided,512,6,0.028321,5.2530,0.8755,OK,0.000160
guided,512,8,0.029270,5.0827,0.6353,OK,0.001066
guided,512,10,0.024109,6.1707,0.6171,OK,0.000141
guided,512,12,0.022841,6.5134,0.5428,OK,0.000571
guided,512,14,0.024979,5.9558,0.4254,OK,0.001937
guided,512,16,0.024023,6.1929,0.3871,OK,0.001021
guided,512,20,0.023920,6.2196,0.3110,OK,0.001048
guided,512,24,0.024124,6.1669,0.2570,OK,0.000627
guided,512,32,0.023230,6.4041,0.2001,OK,0.000525
static,1024,2,0.637503,1.7894,0.8947,OK,0.001614
static,1024,4,0.310970,3.6683,0.9171,OK,0.000487
static,1024,6,0.227067,5.0238,0.8373,OK,0.000674
static,1024,8,0.346144,3.2955,0.4119,OK,0.005208
static,1024,10,0.411707,2.7707,0.2771,OK,0.005769
static,1024,12,0.701343,1.6265,0.1355,OK,0.001678
static,1024,14,0.661138,1.7254,0.1232,OK,0.012024
static,1024,16,0.680505,1.6763,0.1048,OK,0.062394
static,1024,20,0.705562,1.6168,0.0808,OK,0.007397
static,1024,24,0.713530,1.5987,0.0666,OK,0.007261
static,1024,32,0.716128,1.5929,0.0498,OK,0.065788
dynamic,1024,2,0.574174,1.9867,0.9934,OK,0.003766
dynamic,1024,4,0.315953,3.6104,0.9026,OK,0.000416
dynamic,1024,6,0.255602,4.4629,0.7438,OK,0.000658
dynamic,1024,8,0.338294,3.3720,0.4215,OK,0.006910
dynamic,1024,10,0.471805,2.4178,0.2418,OK,0.012879
dynamic,1024,12,0.644872,1.7689,0.1474,OK,0.013243
dynamic,1024,14,0.642203,1.7763,0.1269,OK,0.063746
dynamic,1024,16,0.685930,1.6630,0.1039,OK,0.020667
dynamic,1024,20,0.687084,1.6602,0.0830,OK,0.015674
dynamic,1024,24,0.700527,1.6284,0.0678,OK,0.019120
dynamic,1024,32,0.696973,1.6367,0.0511,OK,0.055831
guided,1024,2,0.619203,1.8423,0.9211,OK,0.003386
guided,1024,4,0.308319,3.6998,0.9250,OK,0.000328
guided,1024,6,0.229621,4.9679,0.8280,OK,0.000996
guided,1024,8,0.376224,3.0320,0.3790,OK,0.015352
guided,1024,10,0.453567,2.5150,0.2515,OK,0.025540
guided,1024,12,0.703572,1.6213,0.1351,OK,0.001944
guided,1024,14,0.703874,1.6206,0.1158,OK,0.074412
guided,1024,16,0.715549,1.5942,0.0996,OK,0.005236
guided,1024,20,0.708667,1.6097,0.0805,OK,0.003914
guided,1024,24,0.711075,1.6042,0.0668,OK,0.054264
guided,1024,32,0.709658,1.6074,0.0502,OK,0.005007
static,2048,2,15.950956,1.9325,0.9662,OK,0.028019
static,2048,4,8.819112,3.4953,0.8738,OK,0.137861
static,2048,6,6.148826,5.0132,0.8355,OK,0.116702
static,2048,8,6.815698,4.5227,0.5653,OK,0.136339
static,2048,10,6.373903,4.8362,0.4836,OK,0.139585
static,2048,12,6.200908,4.9711,0.4143,OK,0.111910
static,2048,14,6.399801,4.8166,0.3440,OK,0.125206
static,2048,16,6.374927,4.8354,0.3022,OK,0.122222
static,2048,20,6.301776,4.8915,0.2446,OK,0.122257
static,2048,24,6.250341,4.9318,0.2055,OK,0.119977
static,2048,32,6.244421,4.9364,0.1543,OK,0.125214
dynamic,2048,2,16.199683,1.9028,0.9514,OK,0.199534
dynamic,2048,4,8.444195,3.6505,0.9126,OK,0.169923
dynamic,2048,6,6.731411,4.5793,0.7632,OK,0.124670
dynamic,2048,8,6.335273,4.8656,0.6082,OK,0.178536
dynamic,2048,10,6.345133,4.8581,0.4858,OK,0.085413
dynamic,2048,12,6.276729,4.9110,0.4093,OK,0.139203
dynamic,2048,14,6.459842,4.7718,0.3408,OK,0.123966
dynamic,2048,16,6.393529,4.8213,0.3013,OK,0.107573
dynamic,2048,20,6.292248,4.8989,0.2449,OK,0.116709
dynamic,2048,24,6.404032,4.8134,0.2006,OK,0.123879
dynamic,2048,32,6.253974,4.9289,0.1540,OK,0.122627
guided,2048,2,16.229601,1.8993,0.9497,OK,0.219428
guided,2048,4,8.802072,3.5020,0.8755,OK,0.137676
guided,2048,6,6.084116,5.0665,0.8444,OK,0.118181
guided,2048,8,6.815201,4.5230,0.5654,OK,0.472777
guided,2048,10,6.458320,4.7729,0.4773,OK,0.148699
guided,2048,12,6.053798,5.0919,0.4243,OK,0.117556
guided,2048,14,6.222283,4.9540,0.3539,OK,0.113922
guided,2048,16,6.318265,4.8787,0.3049,OK,0.144862
guided,2048,20,6.303425,4.8902,0.2445,OK,0.087459
guided,2048,24,6.246836,4.9345,0.2056,OK,0.083080
guided,2048,32,6.252584,4.9300,0.1541,OK,0.108373
