SIZE,THREADS,SEQ_TIME,PAR_TIME,SPEEDUP,EFFICIENCY,STDDEV
512,2,0.133575,0.073033,1.8290,0.9145,0.000502
512,4,0.133575,0.039776,3.3582,0.8395,0.000471
512,6,0.133575,0.028185,4.7393,0.7899,0.000275
512,8,0.133575,0.028246,4.7290,0.5911,0.000201
512,10,0.133575,0.024157,5.5296,0.5530,0.000342
512,12,0.133575,0.022861,5.8429,0.4869,0.000493
850,2,0.667278,0.321735,2.0740,1.0370,0.001051
850,4,0.667278,0.170813,3.9065,0.9766,0.000918
850,6,0.667278,0.131034,5.0924,0.8487,0.000378
850,8,0.667278,0.139448,4.7851,0.5981,0.006223
850,10,0.667278,0.113570,5.8755,0.5875,0.003310
850,12,0.667278,0.119096,5.6029,0.4669,0.001476
1024,2,1.178538,0.624575,1.8869,0.9435,0.000421
1024,4,1.178538,0.296331,3.9771,0.9943,0.001142
1024,6,1.178538,0.224694,5.2451,0.8742,0.000682
1024,8,1.178538,0.353229,3.3365,0.4171,0.005536
1024,10,1.178538,0.412169,2.8594,0.2859,0.050917
1024,12,1.178538,0.697872,1.6888,0.1407,0.003411
1520,2,4.985900,2.818648,1.7689,0.8844,0.092976
1520,4,4.985900,1.465888,3.4013,0.8503,0.009391
1520,6,4.985900,1.126994,4.4241,0.7373,0.046056
1520,8,4.985900,1.390824,3.5849,0.4481,0.018877
1520,10,4.985900,1.530383,3.2579,0.3258,0.056914
1520,12,4.985900,2.408642,2.0700,0.1725,0.060058
2048,2,31.152619,15.925278,1.9562,0.9781,0.023129
2048,4,31.152619,8.706463,3.5781,0.8945,0.157743
2048,6,31.152619,6.162492,5.0552,0.8425,0.114502
2048,8,31.152619,6.836876,4.5566,0.5696,0.149875
2048,10,31.152619,6.401480,4.8665,0.4866,0.157435
2048,12,31.152619,6.194957,5.0287,0.4191,0.112768
