MODE,BLOCK_SIZE,SIZE,THREADS,TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
tiled,32,512,2,0.065259,1.9529,0.9764,OK,0.000279
tiled,32,512,4,0.033629,3.7896,0.9474,OK,0.000328
tiled,32,512,8,0.023595,5.4013,0.6752,OK,0.000392
tiled,32,512,12,0.021781,5.8512,0.4876,OK,0.000188
tiled,32,512,16,0.022046,5.7809,0.3613,OK,0.000185
tiled,32,512,20,0.021930,5.8115,0.2906,OK,0.000136
tiled,32,512,24,0.022708,5.6121,0.2338,OK,0.000628
tiled,32,512,32,0.022092,5.7688,0.1803,OK,0.000279
tiled,64,512,2,0.067082,1.8998,0.9499,OK,0.000611
tiled,64,512,4,0.034063,3.7414,0.9354,OK,0.000142
tiled,64,512,8,0.023039,5.5315,0.6914,OK,0.000488
tiled,64,512,12,0.023551,5.4115,0.4510,OK,0.000400
tiled,64,512,16,0.023406,5.4449,0.3403,OK,0.000600
tiled,64,512,20,0.023382,5.4505,0.2725,OK,0.000910
tiled,64,512,24,0.022993,5.5427,0.2309,OK,0.000670
tiled,64,512,32,0.022884,5.5690,0.1740,OK,0.000377
tiled,128,512,2,0.072335,1.7618,0.8809,OK,0.000387
tiled,128,512,4,0.040213,3.1692,0.7923,OK,0.000601
tiled,128,512,8,0.032363,3.9379,0.4922,OK,0.000188
tiled,128,512,12,0.033163,3.8429,0.3202,OK,0.000379
tiled,128,512,16,0.027816,4.5816,0.2863,OK,0.001030
tiled,128,512,20,0.026605,4.7902,0.2395,OK,0.001739
tiled,128,512,24,0.026812,4.7532,0.1980,OK,0.000835
tiled,128,512,32,0.026997,4.7206,0.1475,OK,0.001181
tiled,256,512,2,0.076195,1.6726,0.8363,OK,0.001422
tiled,256,512,4,0.038816,3.2833,0.8208,OK,0.001098
tiled,256,512,8,0.056885,2.2404,0.2800,OK,0.009337
tiled,256,512,12,0.060675,2.1004,0.1750,OK,0.005600
tiled,256,512,16,0.055090,2.3134,0.1446,OK,0.002755
tiled,256,512,20,0.057516,2.2158,0.1108,OK,0.009573
tiled,256,512,24,0.057147,2.2301,0.0929,OK,0.006197
tiled,256,512,32,0.055657,2.2898,0.0716,OK,0.003133
tiled,32,1024,2,0.527704,1.9750,0.9875,OK,0.001518
tiled,32,1024,4,0.284471,3.6636,0.9159,OK,0.039920
tiled,32,1024,8,0.203352,5.1251,0.6406,OK,0.001461
tiled,32,1024,12,0.202083,5.1573,0.4298,OK,0.000521
tiled,32,1024,16,0.203128,5.1307,0.3207,OK,0.001084
tiled,32,1024,20,0.204004,5.1087,0.2554,OK,0.000846
tiled,32,1024,24,0.204411,5.0986,0.2124,OK,0.001335
tiled,32,1024,32,0.207464,5.0235,0.1570,OK,0.000533
tiled,64,1024,2,0.588475,1.7710,0.8855,OK,0.001935
tiled,64,1024,4,0.316168,3.2963,0.8241,OK,0.000673
tiled,64,1024,8,0.224650,4.6392,0.5799,OK,0.001423
tiled,64,1024,12,0.212063,4.9146,0.4095,OK,0.001128
tiled,64,1024,16,0.211572,4.9260,0.3079,OK,0.001846
tiled,64,1024,20,0.217189,4.7986,0.2399,OK,0.020228
tiled,64,1024,24,0.212407,4.9066,0.2044,OK,0.000787
tiled,64,1024,32,0.211085,4.9374,0.1543,OK,0.000870
tiled,128,1024,2,0.640716,1.6266,0.8133,OK,0.002704
tiled,128,1024,4,0.340761,3.0585,0.7646,OK,0.001646
tiled,128,1024,8,0.241109,4.3225,0.5403,OK,0.002281
tiled,128,1024,12,0.237430,4.3895,0.3658,OK,0.009999
tiled,128,1024,16,0.224676,4.6387,0.2899,OK,0.019948
tiled,128,1024,20,0.225754,4.6165,0.2308,OK,0.001571
tiled,128,1024,24,0.225029,4.6314,0.1930,OK,0.001492
tiled,128,1024,32,0.222994,4.6737,0.1461,OK,0.002438
tiled,256,1024,2,0.631729,1.6498,0.8249,OK,0.002062
tiled,256,1024,4,0.330748,3.1510,0.7878,OK,0.000698
tiled,256,1024,8,0.282812,3.6851,0.4606,OK,0.007603
tiled,256,1024,12,0.279397,3.7302,0.3108,OK,0.003773
tiled,256,1024,16,0.256310,4.0662,0.2541,OK,0.006120
tiled,256,1024,20,0.258490,4.0319,0.2016,OK,0.004907
tiled,256,1024,24,0.256961,4.0559,0.1690,OK,0.005439
tiled,256,1024,32,0.265480,3.9257,0.1227,OK,0.023285
tiled,32,2048,2,4.550254,6.8877,3.4438,OK,0.115151
tiled,32,2048,4,2.503120,12.5206,3.1302,OK,0.057315
tiled,32,2048,8,1.733106,18.0835,2.2604,OK,0.011014
tiled,32,2048,12,1.728999,18.1265,1.5105,OK,0.045579
tiled,32,2048,16,1.720346,18.2177,1.1386,OK,0.042276
tiled,32,2048,20,1.722182,18.1982,0.9099,OK,0.037686
tiled,32,2048,24,1.727644,18.1407,0.7559,OK,0.042925
tiled,32,2048,32,1.738148,18.0311,0.5635,OK,0.003513
tiled,64,2048,2,4.837380,6.4789,3.2394,OK,0.117534
tiled,64,2048,4,2.495970,12.5565,3.1391,OK,0.080206
tiled,64,2048,8,1.824326,17.1793,2.1474,OK,0.006903
tiled,64,2048,12,1.708127,18.3480,1.5290,OK,0.007767
tiled,64,2048,16,1.710106,18.3268,1.1454,OK,0.041167
tiled,64,2048,20,1.716310,18.2605,0.9130,OK,0.030042
tiled,64,2048,24,1.713440,18.2911,0.7621,OK,0.003800
tiled,64,2048,32,1.714950,18.2750,0.5711,OK,0.030171
tiled,128,2048,2,4.899635,6.3965,3.1983,OK,0.136052
tiled,128,2048,4,2.621880,11.9535,2.9884,OK,0.085386
tiled,128,2048,8,1.881943,16.6534,2.0817,OK,0.015094
tiled,128,2048,12,1.830022,17.1259,1.4272,OK,0.046999
tiled,128,2048,16,1.821170,17.2091,1.0756,OK,0.010880
tiled,128,2048,20,1.821885,17.2023,0.8601,OK,0.042809
tiled,128,2048,24,1.824946,17.1735,0.7156,OK,0.042760
tiled,128,2048,32,1.834176,17.0871,0.5340,OK,0.030698
tiled,256,2048,2,5.114407,6.1279,3.0640,OK,0.129993
tiled,256,2048,4,2.766701,11.3278,2.8320,OK,0.072880
tiled,256,2048,8,1.962327,15.9712,1.9964,OK,0.059448
tiled,256,2048,12,1.968153,15.9239,1.3270,OK,0.008452
tiled,256,2048,16,2.039656,15.3657,0.9604,OK,0.027492
tiled,256,2048,20,2.053900,15.2591,0.7630,OK,0.037003
tiled,256,2048,24,2.042100,15.3473,0.6395,OK,0.049488
tiled,256,2048,32,2.002893,15.6477,0.4890,OK,0.045955
MODE,BLOCK_SIZE,SIZE,THREADS,TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
tiled_opt,32,512,2,0.013248,12.2096,6.1048,OK,0.000245
tiled_opt,32,512,4,0.006661,24.2859,6.0715,OK,0.000224
tiled_opt,32,512,8,0.006632,24.3917,3.0490,OK,0.000346
tiled_opt,32,512,12,0.005573,29.0255,2.4188,OK,0.000414
tiled_opt,32,512,16,0.006391,25.3108,1.5819,OK,0.000494
tiled_opt,32,512,20,0.006390,25.3124,1.2656,OK,0.000474
tiled_opt,32,512,24,0.006447,25.0896,1.0454,OK,0.000104
tiled_opt,32,512,32,0.006432,25.1478,0.7859,OK,0.000581
tiled_opt,64,512,2,0.009492,17.0423,8.5211,OK,0.000441
tiled_opt,64,512,4,0.004895,33.0427,8.2607,OK,0.000254
tiled_opt,64,512,8,0.004630,34.9376,4.3672,OK,0.000064
tiled_opt,64,512,12,0.004264,37.9319,3.1610,OK,0.000178
tiled_opt,64,512,16,0.005179,31.2338,1.9521,OK,0.000364
